"","Name","Earn"
"3541","Charleston Southern University","34900"
"3542","Technical College of the Lowcountry","26900"
"3543","Benedict College","22300"
"3544","Bob Jones University","PrivacySuppressed"
"3545","Southern Wesleyan University","41500"
"3546","Charleston Cosmetology Institute","22700"
"3547","College of Charleston","39800"
"3548","Charzanne Beauty College","15900"
"3549","Northeastern Technical College","22800"
"3550","Citadel Military College of South Carolina","50000"
"3551","Claflin University","26800"
"3552","Clemson University","48700"
"3553","Clinton College","20700"
"3554","Coker College","32100"
"3555","Columbia International University","28500"
"3556","Columbia College","30800"
"3557","Converse College","29600"
"3558","Denmark Technical College","17600"
"3559","Erskine College","34900"
"3560","Florence-Darlington Technical College","26800"
"3561","Forrest College","18600"
"3562","Francis Marion University","32000"
"3563","Furman University","48100"
"3564","Greenville Technical College","31200"
"3565","Horry-Georgetown Technical College","27000"
"3566","Kenneth Shuler School of Cosmetology-North Augusta","18800"
"3567","Kenneth Shuler School of Cosmetology and Nails-Columbia","17400"
"3568","Lander University","32400"
"3569","Limestone College","36600"
"3570","Lenoir-Rhyne University-Lutheran Theological Southern Seminary","NULL"
"3571","Medical University of South Carolina","91200"
"3572","Midlands Technical College","29300"
"3573","Morris College","22100"
"3574","Newberry College","30700"
"3575","North Greenville University","29600"
"3576","Orangeburg Calhoun Technical College","25700"
"3577","Piedmont Technical College","25500"
"3578","Presbyterian College","41300"
"3579","University of South Carolina-Aiken","34700"
"3580","University of South Carolina-Beaufort","35400"
"3581","University of South Carolina-Columbia","46000"
"3582","University of South Carolina-Lancaster","46000"
"3583","University of South Carolina-Salkehatchie","26400"
"3584","University of South Carolina-Sumter","32200"
"3585","University of South Carolina-Union","31300"
"3586","Coastal Carolina University","37200"
"3587","South Carolina State University","26600"
"3588","University of South Carolina-Upstate","36200"
"3589","Sherman College of Straight Chiropractic","PrivacySuppressed"
"3590","Spartanburg Methodist College","29200"
"3591","Spartanburg Community College","27600"
"3592","Central Carolina Technical College","26600"
"3593","Sumter Beauty College","PrivacySuppressed"
"3594","Tri-County Technical College","27200"
"3595","Trident Technical College","30700"
"3596","Voorhees College","24300"
"3597","Williamsburg Technical College","22300"
"3598","Winthrop University","34700"
"3599","Wofford College","50000"
"3600","York Technical College","27400"
"3601","Augustana University","42500"
"3602","Black Hills Beauty College","15700"
"3603","Black Hills State University","35500"
"3604","Kilian Community College","23600"
"3605","Dakota State University","37100"
"3606","Dakota Wesleyan University","36900"
"3607","Headlines Academy Inc","18000"
"3608","Lake Area Technical Institute","36300"
"3609","Avera McKennan Hospital School of Radiologic Technology","PrivacySuppressed"
"3610","Mitchell Technical Institute","40100"
"3611","Mount Marty College","34600"
"3612","National American University-Rapid City","35300"
"3613","National American University-Sioux Falls","35300"
"3614","Sioux Falls Seminary","NULL"
"3615","Northern State University","33000"
"3616","Oglala Lakota College","18000"
"3617","Presentation College","34300"
"3618","Avera Sacred Heart Hospital","PrivacySuppressed"
"3619","South Dakota School of Mines and Technology","52800"
"3620","South Dakota State University","43600"
"3621","Sinte Gleska University","19500"
"3622","University of Sioux Falls","38700"
"3623","Sanford Medical Center","PrivacySuppressed"
"3624","Sisseton Wahpeton College","22100"
"3625","Southeast Technical Institute","36100"
"3626","Stewart School","20300"
"3627","University of South Dakota","41300"
"3628","Western Dakota Technical Institute","34000"
"3629","American Baptist College","PrivacySuppressed"
"3630","Aquinas College","45400"
"3631","Arnolds Beauty School","17000"
"3632","Tennessee College of Applied Technology-Athens","30800"
"3633","Austin Peay State University","33400"
"3634","Baptist Memorial College of Health Sciences","50400"
"3635","Belmont University","42000"
"3636","Bethel University","37700"
"3637","Bryan College-Dayton","38700"
"3638","Carson-Newman University","34700"
"3639","Chattanooga State Community College","29400"
"3640","Christian Brothers University","41900"
"3641","Pentecostal Theological Seminary","NULL"
"3642","Cleveland State Community College","28900"
"3643","Columbia State Community College","30900"
"3644","Concorde Career College-Memphis","21400"
"3645","Tennessee College of Applied Technology-Covington","23300"
"3646","Cumberland University","37800"
"3647","Lipscomb University","41200"
"3648","Tennessee College of Applied Technology-Dickson","25100"
"3649","Daymar Institute-Nashville","22900"
"3650","Dyersburg State Community College","26800"
"3651","East Tennessee State University","34300"
"3652","Chattanooga College Medical Dental and Technical Careers","22600"
"3653","Tennessee College of Applied Technology-Elizabethton","26000"
"3654","Emmanuel Christian Seminary","NULL"
"3655","Fayetteville College of Cosmetology Arts and Sciences","20500"
"3656","Fisk University","30000"
"3657","Welch College","28500"
"3658","Freed-Hardeman University","33900"
"3659","Tennessee College of Applied Technology-Harriman","25600"
"3660","Tennessee College of Applied Technology-Hartsville","25100"
"3661","Hiwassee College","28200"
"3662","Tennessee College of Applied Technology-Hohenwald","26600"
"3663","Tennessee College of Applied Technology-Jacksboro","21700"
"3664","Jackson State Community College","27500"
"3665","John A Gupton College","30900"
"3666","Johnson University","29600"
"3667","Paul Mitchell the School-Nashville","PrivacySuppressed"
"3668","King University","46000"
"3669","South College","26500"
"3670","Knoxville Institute of Hair Design","NULL"
"3671","Lane College","23100"
"3672","Le Moyne-Owen College","25000"
"3673","Lee University","31000"
"3674","Lincoln Memorial University","37000"
"3675","Tennessee College of Applied Technology-Livingston","25200"
"3676","Martin Methodist College","30600"
"3677","Maryville College","35700"
"3678","Tennessee College of Applied Technology-McKenzie","25100"
"3679","Genesis Career College-Cookeville","15500"
"3680","Meharry Medical College","131200"
"3681","Memphis College of Art","23900"
"3682","Tennessee College of Applied Technology-Memphis","26700"
"3683","University of Memphis","37400"
"3684","Memphis Theological Seminary","NULL"
"3685","Victory University","35100"
"3686","Middle Tennessee State University","36700"
"3687","Middle Tennessee School of Anesthesia Inc","NULL"
"3688","Milligan College","38300"
"3689","Tennessee College of Applied Technology-Morristown","26000"
"3690","Motlow College","27400"
"3691","Tennessee College of Applied Technology-Murfreesboro","27300"
"3692","Lincoln College of Technology-Nashville","33300"
"3693","Nashville College of Medical Careers","22200"
"3694","Nashville State Community College","29300"
"3695","Tennessee College of Applied Technology-Newbern","23900"
"3696","O'More College of Design","37800"
"3697","Tennessee College of Applied Technology-Paris","22900"
"3698","Plaza Beauty School","22500"
"3699","Tennessee College of Applied Technology-Pulaski","28200"
"3700","Rhodes College","50000"
"3701","Tennessee College of Applied Technology-Ripley","27200"
"3702","Roane State Community College","28700"
"3703","Tennessee College of Applied Technology-Crump","22300"
"3704","Southwest Tennessee Community College","25600"
"3705","Tennessee College of Applied Technology-Shelbyville","30100"
"3706","Sewanee-The University of the South","42000"
"3707","Tennessee College of Applied Technology-Oneida-Huntsville","22100"
"3708","Tennessee College of Applied Technology-Crossville","25500"
"3709","Tennessee College of Applied Technology-McMinnville","25500"
"3710","Tennessee College of Applied Technology-Jackson","27800"
"3711","Tennessee College of Applied Technology-Knoxville","23700"
"3712","Tennessee College of Applied Technology-Whiteville","27100"
"3713","Pellissippi State Community College","28700"
"3714","Southern Adventist University","36100"
"3715","Southern College of Optometry","86600"
"3716","Tennessee Wesleyan College","38900"
"3717","The University of Tennessee-Chattanooga","35900"
"3718","The University of Tennessee-Knoxville","47600"
"3719","The University of Tennessee-Martin","34000"
"3720","Fountainhead College of Technology","37300"
"3721","Tennessee School of Beauty of Knoxville Inc","17900"
"3722","Tennessee State University","34500"
"3723","Tennessee Technological University","39700"
"3724","Tennessee Temple University","30800"
"3725","Trevecca Nazarene University","43800"
"3726","Northeast State Community College","26900"
"3727","Tusculum College","37800"
"3728","Union University","42900"
"3729","New Concepts School of Cosmetology","PrivacySuppressed"
"3730","Vanderbilt University","69700"
"3731","Volunteer Beauty Academy-Dyersburg","15800"
"3732","Volunteer State Community College","30400"
"3733","Walters State Community College","26900"
"3734","West Tennessee Business College","20400"
"3735","William Moore College of Technology","PrivacySuppressed"
"3736","Abilene Christian University","39800"
"3737","Alvin Community College","37100"
"3738","Amarillo College","32100"
"3739","American Commercial College-San Angelo","20800"
"3740","American Commercial College-Abilene","20000"
"3741","American Commercial College-Odessa","21300"
"3742","Angelina College","30400"
"3743","Angelo State University","39100"
"3744","Arlington Baptist College","31500"
"3745","Arlington Career Institute","26700"
"3746","The Art Institute of Houston","33200"
"3747","Austin College","43900"
"3748","Austin Community College District","34500"
"3749","Austin Presbyterian Theological Seminary","NULL"
"3750","Baldwin Beauty School-South Austin","20500"
"3751","Baptist Health System School of Health Professions","PrivacySuppressed"
"3752","Baptist Missionary Association Theological Seminary","PrivacySuppressed"
"3753","Texas A&M Health Science Center","PrivacySuppressed"
"3754","Baylor College of Medicine","154900"
"3755","Baylor University","48000"
"3756","Coastal Bend College","30100"
"3757","Blinn College","37600"
"3758","Remington College-Dallas Campus","24800"
"3759","Vet Tech Institute of Houston","29000"
"3760","Brazosport College","35900"
"3761","Brookhaven College","36500"
"3762","Capitol City Trade and Technical School","26200"
"3763","Capitol City Careers","21800"
"3764","Cedar Valley College","28500"
"3765","Central Texas College","31600"
"3766","Charles and Sues School of Hair Design","18400"
"3767","Cisco College","30100"
"3768","Clarendon College","32400"
"3769","Concordia University-Texas","44100"
"3770","Conlee's College of Cosmetology","PrivacySuppressed"
"3771","North Central Texas College","33300"
"3772","Texas A & M University-Corpus Christi","41500"
"3773","Cosmetology Career Center LLC","29300"
"3774","Court Reporting Institute of Dallas","32300"
"3775","Dallas Baptist University","43700"
"3776","Dallas Christian College","41800"
"3777","Dallas Institute of Funeral Service","32900"
"3778","Dallas Theological Seminary","NULL"
"3779","University of Dallas","44600"
"3780","Del Mar College","32900"
"3781","DeVry University-Texas","44000"
"3782","Career Point College","20600"
"3783","East Texas Baptist University","38500"
"3784","Texas A & M University-Texarkana","35900"
"3785","Texas A & M University-Commerce","36000"
"3786","Eastfield College","30600"
"3787","El Centro College","30300"
"3788","El Paso Community College","27600"
"3789","Western Technical College","29700"
"3790","Western Technical College","29700"
"3791","Exposito School of Hair Design","19000"
"3792","South University-The Art Institute of Dallas","37800"
"3793","Fort Worth Beauty School","18200"
"3794","Frank Phillips College","30300"
"3795","Franklin Beauty School","15900"
"3796","Galveston College","34500"
"3797","Grayson College","32200"
"3798","Hallmark University","33400"
"3799","Hardin-Simmons University","40800"
"3800","Trinity Valley Community College","31000"
"3801","Hill College","30400"
"3802","Houston Baptist University","43600"
"3803","University of Houston-Clear Lake","46000"
"3804","Houston Community College","34000"
"3805","University of Houston-Downtown","41400"
"3806","University of Houston-Victoria","41100"
"3807","University of Houston","51200"
"3808","Howard College","31600"
"3809","Howard Payne University","34400"
"3810","Huston-Tillotson University","30500"
"3811","University of the Incarnate Word","45500"
"3812","International Business College-El Paso","19800"
"3813","International Business College-El Paso","19800"
"3814","ITT Technical Institute-Arlington","38300"
"3815","ITT Technical Institute-Houston West","38300"
"3816","Jacksonville College-Main Campus","26200"
"3817","Jarvis Christian College","23700"
"3818","KD Conservatory College of Film and Dramatic Arts","28200"
"3819","Kilgore College","30800"
"3820","Lamar University","39300"
"3821","Lamar State College-Orange","30100"
"3822","Lamar State College-Port Arthur","30900"
"3823","Laredo Beauty College Inc","16100"
"3824","Laredo Community College","30900"
"3825","Texas A & M International University","40900"
"3826","Lee College","35400"
"3827","LeTourneau University","50100"
"3828","Lincoln College of Technology-Grand Prairie","33300"
"3829","Lubbock Hair Academy","PrivacySuppressed"
"3830","Lubbock Christian University","43200"
"3831","College of the Mainland","32500"
"3832","University of Mary Hardin-Baylor","40600"
"3833","McLennan Community College","30500"
"3834","McMurry University","39700"
"3835","Covenant School of Nursing and Allied Health","54500"
"3836","Metroplex Beauty School","16500"
"3837","Midland College","38600"
"3838","Midwestern State University","40700"
"3839","Mims Classic Beauty College","21800"
"3840","Wade College","28300"
"3841","Southern Careers Institute-Austin","22000"
"3842","Mountain View College","30100"
"3843","Everest Institute-San Antonio","23100"
"3844","Tint School of Makeup and Cosmetology-Irving","22600"
"3845","Navarro College","30600"
"3846","Neilson Beauty College","20000"
"3847","Lone Star College System","35400"
"3848","North Lake College","37200"
"3849","University of North Texas","41800"
"3850","Northeast Texas Community College","28300"
"3851","Northwood University-Texas","46400"
"3852","Oblate School of Theology","NULL"
"3853","Ocean Corporation","53800"
"3854","Odessa College","37800"
"3855","Ogle School Hair Skin Nails-Arlington","23800"
"3856","Ogle School Hair Skin Nails-Ft Worth","22600"
"3857","Our Lady of the Lake University","37000"
"3858","The University of Texas Rio Grande Valley","37800"
"3859","The University of Texas at Brownsville","32600"
"3860","Panola College","33900"
"3861","Paris Junior College","27100"
"3862","Paul Quinn College","25900"
"3863","Prairie View A & M University","34800"
"3864","Ranger College","31600"
"3865","Aviation Institute of Maintenance-Houston","NULL"
"3866","Rice University","76800"
"3867","Richland College","33100"
"3868","Brightwood College-McAllen","24500"
"3869","Saint Edward's University","46300"
"3870","St Philip's College","29800"
"3871","University of St Thomas","49600"
"3872","Sam Houston State University","42000"
"3873","San Antonio College","30800"
"3874","San Jacinto Community College","36700"
"3875","Schreiner University","36200"
"3876","Seguin Beauty School-Seguin","19100"
"3877","St Mary's University","43400"
"3878","South Plains College","34800"
"3879","South Texas Barber College Inc","PrivacySuppressed"
"3880","South Texas College of Law","NULL"
"3881","South Texas Vocational Technical Institute-Weslaco","23300"
"3882","South Texas Vocational Technical Institute-McAllen","20900"
"3883","Southern Methodist University","62600"
"3884","Southwest School of Business and Technical Careers-San Antonio","19900"
"3885","Southwest Institute of Technology","25700"
"3886","Southwest Texas Junior College","29700"
"3887","Southwestern Assemblies of God University","32300"
"3888","Southwestern University","49800"
"3889","Stephen F Austin State University","39600"
"3890","Texas State University","43200"
"3891","Southwestern Adventist University","38300"
"3892","Southwestern Christian College","22200"
"3893","Sul Ross State University","35300"
"3894","Tarleton State University","41400"
"3895","Tarrant County College District","33000"
"3896","Temple College","31300"
"3897","University of Texas Southwestern Medical Center","101900"
"3898","The University of Texas Health Science Center at San Antonio","89100"
"3899","The University of Texas Medical Branch","69000"
"3900","Texas State Technical College-Waco","34900"
"3901","Texarkana College","27800"
"3902","Texas A & M University-Kingsville","42500"
"3903","Texas A & M University-Galveston","56400"
"3904","Texas A & M University-College Station","56400"
"3905","The University of Texas at Arlington","45700"
"3906","The University of Texas at Austin","60400"
"3907","The University of Texas at Dallas","50800"
"3908","The University of Texas at El Paso","36800"
"3909","The University of Texas at Tyler","44800"
"3910","Texas Chiropractic College Foundation Inc","47700"
"3911","Texas Christian University","51700"
"3912","Texas College","23900"
"3913","University of North Texas Health Science Center","142900"
"3914","Texas Lutheran University","44400"
"3915","The University of Texas of the Permian Basin","43700"
"3916","The University of Texas at San Antonio","42000"
"3917","Brightwood College-Houston","22900"
"3918","Texas Southern University","31800"
"3919","Texas Tech University","50600"
"3920","Texas Vocational Schools Inc","27800"
"3921","Texas Wesleyan University","38300"
"3922","Texas Woman's University","44000"
"3923","Trinity University","54600"
"3924","The University of Texas Health Science Center at Houston","104100"
"3925","Texas State Technical College-Harlingen","31200"
"3926","Texas State Technical College-West Texas","33300"
"3927","Texas Tech University Health Sciences Center","89200"
"3928","Tyler Junior College","32400"
"3929","Universal Technical Institute of Texas Inc.","43600"
"3930","University of Cosmetology Arts & Sciences-McAllen","16700"
"3931","Vernon College","32700"
"3932","Victoria Beauty College Inc","17200"
"3933","Victoria College","33700"
"3934","Vogue College of Cosmetology-McAllen","NULL"
"3935","Wayland Baptist University","42000"
"3936","Weatherford College","32000"
"3937","West Texas A & M University","40500"
"3938","Western Texas College","33800"
"3939","Wharton County Junior College","35800"
"3940","Wiley College","26000"
"3941","AmeriTech College-Provo","30800"
"3942","Bridgerland Applied Technology College","32000"
"3943","Brigham Young University-Provo","54900"
"3944","Brigham Young University-Hawaii","38500"
"3945","Broadview University-West Jordan","27300"
"3946","Cameo College of Essential Beauty","PrivacySuppressed"
"3947","Sherman Kendall Academy-Salt Lake City","PrivacySuppressed"
"3948","Sherman Kendall Academy-Midvale","PrivacySuppressed"
"3949","Davis Applied Technology College","26700"
"3950","Dixie State University","33400"
"3951","Evans Hairstyling College-Cedar City","PrivacySuppressed"
"3952","Evans Hairstyling College-St George","PrivacySuppressed"
"3953","Paul Mitchell the School-Salt Lake City","PrivacySuppressed"
"3954","Eagle Gate College-Murray","26800"
"3955","ITT Technical Institute-Murray","38300"
"3956","Latter-day Saints Business College","36700"
"3957","Everest College-Salt Lake City","24300"
"3958","Ogden-Weber Applied Technology College","24600"
"3959","Snow College","31600"
"3960","Southern Utah University","37400"
"3961","Stevens-Henager College","29500"
"3962","Stevens-Henager College","29500"
"3963","Uintah Basin Applied Technology College","PrivacySuppressed"
"3964","Utah State University","41200"
"3965","Utah Valley University","42000"
"3966","Salt Lake Community College","37000"
"3967","University of Utah","51800"
"3968","Weber State University","42400"
"3969","Westminster College","47200"
"3970","Bennington College","30900"
"3971","Burlington College","30000"
"3972","Castleton University","34300"
"3973","Champlain College","44400"
"3974","Community College of Vermont","27200"
"3975","Goddard College","33500"
"3976","Green Mountain College","27800"
"3977","Johnson State College","30000"
"3978","Lyndon State College","30200"
"3979","Marlboro College","27100"
"3980","Middlebury College","59000"
"3981","New England Culinary Institute","34700"
"3982","Norwich University","47100"
"3983","O'Briens Aveda Institute","22000"
"3984","Saint Michael's College","45800"
"3985","SIT Graduate Institute","43100"
"3986","College of St Joseph","34100"
"3987","Southern Vermont College","34900"
"3988","Sterling College","PrivacySuppressed"
"3989","Vermont Law School","68300"
"3990","Vermont Technical College","40700"
"3991","University of Vermont","44500"
"3992","Bar Palma Beauty Careers Academy","19800"
"3993","Advanced Technology Institute","36900"
"3994","Averett University","42300"
"3995","Blue Ridge Community College","30600"
"3996","Bluefield College","44300"
"3997","Bridgewater College","39700"
"3998","College of William and Mary","59300"
"3999","Regent University","40700"
"4000","Central School of Practical Nursing","NULL"
"4001","Central Virginia Community College","26800"
"4002","Christopher Newport University","43000"
"4003","Suffolk Beauty Academy","16000"
"4004","Bryant & Stratton College-Virginia Beach","23600"
"4005","Bryant & Stratton College-Richmond","23600"
"4006","Jefferson College of Health Sciences","53600"
"4007","Dabney S Lancaster Community College","27600"
"4008","Danville Community College","26800"
"4009","Eastern Virginia Medical School","114300"
"4010","Centura College-Virginia Beach","22600"
"4011","Emory & Henry College","36500"
"4012","Eastern Mennonite University","39900"
"4013","Eastern Shore Community College","24200"
"4014","Ferrum College","33300"
"4015","George Mason University","55400"
"4016","Germanna Community College","33400"
"4017","Hampden-Sydney College","45700"
"4018","Hampton University","43300"
"4019","Hollins University","32300"
"4020","J Sargeant Reynolds Community College","30400"
"4021","James Madison University","53100"
"4022","John Tyler Community College","33100"
"4023","Everest College-Newport News","20500"
"4024","Liberty University","35600"
"4025","Longwood University","38300"
"4026","Lord Fairfax Community College","29400"
"4027","Suffolk Public Schools-Sentara Obici Hospital School of Practical Nursing","PrivacySuppressed"
"4028","Lynchburg College","40000"
"4029","Centra College of Nursing","43800"
"4030","Mary Baldwin College","35600"
"4031","University of Mary Washington","46700"
"4032","Marymount University","48700"
"4033","Danville Regional Medical Center School of Health Professions","43700"
"4034","Mountain Empire Community College","24700"
"4035","American National University","20400"
"4036","New River Community College","30200"
"4037","Sentara College of Health Sciences","50100"
"4038","Tidewater Tech-Trades","PrivacySuppressed"
"4039","Norfolk State University","33700"
"4040","Northern Virginia Community College","40600"
"4041","Old Dominion University","42000"
"4042","Patrick Henry Community College","25100"
"4043","Paul D Camp Community College","23900"
"4044","Southside Regional Medical Center Professional Schools","54300"
"4045","Miller-Motte Technical College-Lynchburg","22400"
"4046","Piedmont Virginia Community College","30400"
"4047","Radford University","41100"
"4048","Sylvain Melloul International Hair Academy","PrivacySuppressed"
"4049","Randolph-Macon College","45900"
"4050","Randolph College","33000"
"4051","Rappahannock Community College","27800"
"4052","Fortis College-Norfolk","24800"
"4053","Richard Bland College of the College of William and Mary","30600"
"4054","Bon Secours Memorial College of Nursing","54000"
"4055","University of Richmond","62900"
"4056","Riverside College of Health Careers","46100"
"4057","Roanoke College","42000"
"4058","Bon Secours St Mary's Hospital School of Medical Imaging","NULL"
"4059","Saint Pauls College","27200"
"4060","Shenandoah University","45800"
"4061","Southern Virginia University","32800"
"4062","Southside Virginia Community College","23600"
"4063","Southwest Virginia Community College","26700"
"4064","Springfield Beauty Academy","23400"
"4065","Staunton School of Cosmetology","PrivacySuppressed"
"4066","Strayer University-Virginia","49100"
"4067","Sweet Briar College","36900"
"4068","Thomas Nelson Community College","28900"
"4069","Tidewater Community College","30700"
"4070","Union Presbyterian Seminary","NULL"
"4071","The University of Virginia's College at Wise","37400"
"4072","Virginia Highlands Community College","25600"
"4073","Virginia Intermont College","31400"
"4074","Virginia Polytechnic Institute and State University","55900"
"4075","Virginia Western Community College","30200"
"4076","Virginia Commonwealth University","42300"
"4077","University of Virginia-Main Campus","65600"
"4078","Virginia Military Institute","53900"
"4079","Virginia School of Hair Design","16200"
"4080","Virginia University of Lynchburg","PrivacySuppressed"
"4081","Virginia State University","32700"
"4082","Virginia Union University","28400"
"4083","Virginia Wesleyan College","37600"
"4084","Wards Corner Beauty Academy-Norfolk","19600"
"4085","Washington and Lee University","74900"
"4086","Sanford-Brown College-Tysons Corner","30400"
"4087","Washington County Adult Skill Center","22400"
"4088","Wilson Workforce and Rehabilitation Center","17100"
"4089","Wytheville Community College","26900"
"4090","Beauty Academy","17100"
"4091","The Art Institute of Seattle","33900"
"4092","Evergreen Beauty and Barber College-Bellevue","PrivacySuppressed"
"4093","Bellevue College","41900"
"4094","Bellingham Beauty School","16900"
"4095","Bellingham Technical College","42700"
"4096","Big Bend Community College","32900"
"4097","Everest College-Bremerton","26800"
"4098","Everest College-Renton","28100"
"4099","Central Washington University","42200"
"4100","Centralia College","30200"
"4101","City University of Seattle","48900"
"4102","Paul Mitchell the School-Richland","19100"
"4103","Clark College","33600"
"4104","Clover Park Technical College","33400"
"4105","Columbia Basin College","32800"
"4106","Cornish College of the Arts","27900"
"4107","Divers Institute of Technology","49000"
"4108","Eastern Washington University","40000"
"4109","Edmonds Community College","37800"
"4110","Everett Community College","33900"
"4111","Paroba College of Cosmetology","22500"
"4112","The Evergreen State College","31100"
"4113","Pierce College-Fort Steilacoom","34100"
"4114","Glen Dow Academy of Hair Design","21800"
"4115","Gonzaga University","52200"
"4116","Grays Harbor College","28200"
"4117","Green River College","35600"
"4118","Toni & Guy Hairdressing Academy-Shoreline","28000"
"4119","Heritage University","33200"
"4120","Highline College","35500"
"4121","Interface College-Spokane","25500"
"4122","International Air and Hospitality Academy","25500"
"4123","ITT Technical Institute-Seattle","39900"
"4124","ITT Technical Institute-Spokane Valley","39900"
"4125","Bastyr University","38100"
"4126","Gene Juarez Academy of Beauty-Mountlake Terrace","26200"
"4127","Bates Technical College","37700"
"4128","Lake Washington Institute of Technology","40300"
"4129","Lower Columbia College","31800"
"4130","Trinity Lutheran College","PrivacySuppressed"
"4131","BJ's Beauty & Barber College","NULL"
"4132","BJ's Beauty & Barber College","23800"
"4133","Northwest Hair Academy","22300"
"4134","North Seattle College","37200"
"4135","Northwest University","40200"
"4136","Olympic College","32600"
"4137","Perry Technical Institute","51300"
"4138","Pacific Lutheran University","44900"
"4139","Peninsula College","29500"
"4140","University of Puget Sound","46400"
"4141","Renton Technical College","36900"
"4142","Saint Martin's University","43700"
"4143","South Seattle College","36100"
"4144","Seattle Central College","30600"
"4145","Everest College-Seattle","25100"
"4146","Seattle Pacific University","44000"
"4147","Seattle University","52700"
"4148","Shoreline Community College","40200"
"4149","Skagit Valley College","31900"
"4150","South Puget Sound Community College","29700"
"4151","Spokane Community College","32500"
"4152","Spokane Falls Community College","29800"
"4153","Stylemaster College of Hair Design","15000"
"4154","Tacoma Community College","35300"
"4155","Walla Walla Community College","33700"
"4156","Walla Walla University","44400"
"4157","Washington State University","48300"
"4158","University of Washington-Seattle Campus","57200"
"4159","Wenatchee Valley College","31400"
"4160","Everest College-Vancouver","23900"
"4161","Western Washington University","41400"
"4162","Whatcom Community College","31600"
"4163","Whitman College","43600"
"4164","Whitworth University","39400"
"4165","Yakima Valley Community College","31700"
"4166","Alderson Broaddus University","42900"
"4167","Appalachian Beauty School","PrivacySuppressed"
"4168","Appalachian Bible College","26100"
"4169","B M Spurr School of Practical Nursing","PrivacySuppressed"
"4170","Ben Franklin Career Center","27300"
"4171","Bethany College","36300"
"4172","Bluefield State College","29400"
"4173","Cabell County Career Technology Center","27300"
"4174","Charleston School of Beauty Culture","18900"
"4175","University of Charleston","40700"
"4176","Clarksburg Beauty Academy and School of Massage Therapy","15100"
"4177","Concord University","31000"
"4178","Davis & Elkins College","35500"
"4179","Fairmont State University","32900"
"4180","Glenville State College","34600"
"4181","HRDE-Stanley Technical Institute-Clarksburg","PrivacySuppressed"
"4182","Huntington Junior College","18300"
"4183","James Rumsey Technical Institute","33100"
"4184","Ralph R Willis Career and Technical Center","PrivacySuppressed"
"4185","Marshall University","35200"
"4186","Mercer County Technical Education Center","PrivacySuppressed"
"4187","Meredith Manor International Equestrian Center","PrivacySuppressed"
"4188","Monongalia County Technical Education Center","29000"
"4189","Morgantown Beauty College Inc","20200"
"4190","Mountain State College","16200"
"4191","Everest Institute-Cross Lanes","23300"
"4192","Opportunities Industrialization Center","17600"
"4193","Ohio Valley University","36700"
"4194","West Virginia University at Parkersburg","28800"
"4195","Potomac State College of West Virginia University","44000"
"4196","Academy of Careers and Technology","31200"
"4197","Salem International University","27900"
"4198","Shepherd University","38300"
"4199","Southern West Virginia Community and Technical College","27600"
"4200","Fred W Eberle Technical Center","33800"
"4201","West Virginia School of Osteopathic Medicine","176000"
"4202","West Virginia State University","29200"
"4203","West Virginia University Hospital Departments of Rad Tech and Nutrition","PrivacySuppressed"
"4204","West Liberty University","33900"
"4205","West Virginia University Institute of Technology","44000"
"4206","West Virginia Wesleyan College","41400"
"4207","West Virginia Business College-Wheeling","16200"
"4208","West Virginia Junior College-Charleston","19500"
"4209","West Virginia Junior College-Morgantown","21500"
"4210","International Beauty School 4","17500"
"4211","West Virginia Northern Community College","26100"
"4212","West Virginia University","44000"
"4213","Wheeling Jesuit University","43800"
"4214","Wood County School of Practical Nursing","PrivacySuppressed"
"4215","Advanced Institute of Hair Design-Glendale","22500"
"4216","VICI Aveda Institute","22500"
"4217","Alverno College","37700"
"4218","Madison Area Technical College","34100"
"4219","Bellin College","56200"
"4220","Beloit College","39100"
"4221","Blackhawk Technical College","31900"
"4222","Cardinal Stritch University","50200"
"4223","Carroll University","41600"
"4224","Carthage College","42300"
"4225","Columbia College of Nursing","NULL"
"4226","Concordia University-Wisconsin","41500"
"4227","Edgewood College","42600"
"4228","Fox Valley Technical College","33500"
"4229","Gateway Technical College","28500"
"4230","Gill-Tech Academy of Hair Design","20100"
"4231","The Salon Professional Academy-Eau Claire","20900"
"4232","ITT Technical Institute-Greenfield","38300"
"4233","DeVry University-Wisconsin","44000"
"4234","Lakeland College","39000"
"4235","Lakeshore Technical College","33200"
"4236","Lawrence University","40500"
"4237","Maranatha Baptist University","34000"
"4238","Marian University","41600"
"4239","Marquette University","59500"
"4240","Empire Beauty School-Madison","19700"
"4241","Medical College of Wisconsin","207600"
"4242","Mid-State Technical College","31900"
"4243","Milwaukee Area Technical College","29700"
"4244","Milwaukee Institute of Art & Design","31800"
"4245","Milwaukee School of Engineering","59600"
"4246","Moraine Park Technical College","32700"
"4247","Mount Mary University","39500"
"4248","Nashotah House","NULL"
"4249","Nicolet Area Technical College","28000"
"4250","Northcentral Technical College","33700"
"4251","Northeast Wisconsin Technical College","34500"
"4252","Northland International University","26100"
"4253","Northland College","30000"
"4254","Ripon College","41100"
"4255","Sacred Heart School of Theology","NULL"
"4256","Saint Norbert College","41900"
"4257","Silver Lake College of the Holy Family","35200"
"4258","State College of Beauty Culture Inc","16500"
"4259","Southwest Wisconsin Technical College","31500"
"4260","Bryant & Stratton College-Milwaukee","23600"
"4261","University of Wisconsin Colleges","33500"
