"","Name","City","State","Zip","URL","Latitude","Longitude","ADMrate","Ownership","Citytype","SAT","AvgCost","Major_agriculture","Major_NatureResource","Major_Architecture","Major_CS","Major_Edu","Major_Engineering","Major_Bio","Major_MathStat","Major_Psychology","Major_SocialScience","Major_Business","Major_History"
"464","Point Loma Nazarene University","San Diego","CA","92106-2899","www.pointloma.edu","32.713295","-117.251204","0.6953",2,"11","1135",44198,"0","1","0","1","1","1","1","1","1","1","1","1"
"465","Pomona College","Claremont","CA","91711-6319","www.pomona.edu","34.098298","-117.711944","0.1219",2,"21","1454",59730,"0","1","0","1","0","1","1","1","1","1","0","1"
"466","Porterville College","Porterville","CA","93257","www.portervillecollege.edu","36.049256","-119.014368","NULL",1,"13","NULL",8881,"0","0","0","0","0","0","0","0","0","0","0","0"
"467","Westwood College-South Bay","Torrance","CA","90502","www.westwood.edu","33.85182","-118.289777","NULL",3,"11","NULL",29287,"0","0","0","1","0","0","0","0","0","0","1","0"
"468","Professional Institute of Beauty","El Monte","CA","91731","www.pib.edu","34.075","-118.038","NULL",3,"21","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"469","Santa Ana College","Santa Ana","CA","92706-3398","www.sac.edu","33.759203","-117.888384","NULL",1,"11","NULL",10217,"0","0","0","0","0","0","0","0","0","0","0","0"
"470","Pardee RAND Graduate School","Santa Monica","CA","90407-2138","www.prgs.edu","34.009975","-118.49047","NULL",2,"13","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"471","Shasta School of Cosmetology","Redding","CA","96003","www.shastaschoolofcosmetology.com","40.59709","-122.387231","NULL",3,"13","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"472","University of Redlands","Redlands","CA","92373-0999","www.redlands.edu","34.063571","-117.163847","0.7309",2,"13","1110",57347,"0","1","0","1","1","0","1","1","1","1","1","1"
"473","College of the Redwoods","Eureka","CA","95501-9300","www.redwoods.edu","40.696744","-124.195075","NULL",1,"41","NULL",11425,"0","0","0","0","0","0","0","0","0","0","0","0"
"474","Salon Success Academy-Upland","Upland","CA","91786","www.gotobeautyschool.com","34.108353","-117.631091","NULL",3,"21","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"475","Salon Success Academy-Corona","Corona","CA","92879","www.gotobeautyschool.com","33.84778","-117.535451","NULL",3,"12","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"476","Rio Hondo College","Whittier","CA","90601-1616","www.riohondo.edu","34.019878","-118.033329","NULL",1,"21","NULL",10902,"0","0","0","0","0","0","0","0","0","0","0","0"
"477","Riverside City College","Riverside","CA","92506","www.rcc.edu/riverside/","33.971481","-117.38054","NULL",1,"11","NULL",12204,"0","0","0","0","0","0","0","0","0","0","0","0"
"478","Argosy University-San Francisco Bay Area","Alameda","CA","94501","www.argosy.edu/sanfrancisco","37.781238","-122.267523","NULL",3,"21","NULL",NA,"0","0","0","0","0","0","0","0","1","0","1","0"
"479","Rosemead Beauty School","Rosemead","CA","91770-1639","www.rosemead-beauty-school.com","34.080756","-118.082793","NULL",3,"21","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"480","Dongguk University-Los Angeles","Los Angeles","CA","90020-1704","www.dula.edu","34.066226","-118.289927","NULL",2,"11","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"481","Rudolf Steiner College","Fair Oaks","CA","95628-6811","www.steinercollege.edu","38.63481","-121.288571","NULL",2,"21","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"482","Sacramento City College","Sacramento","CA","95822-1386","www.scc.losrios.edu/","38.541883","-121.49166","NULL",1,"11","NULL",12509,"0","0","0","0","0","0","0","0","0","0","0","0"
"483","Saddleback College","Mission Viejo","CA","92692-3635","www.saddleback.edu","33.551925","-117.664876","NULL",1,"21","NULL",15171,"0","0","0","0","0","0","0","0","0","0","0","0"
"484","Samuel Merritt University","Oakland","CA","94609","www.samuelmerritt.edu","37.82029","-122.266331","NULL",2,"11","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"485","San Diego City College","San Diego","CA","92101-4787","www.sdcity.edu/","32.718855","-117.151641","NULL",1,"11","NULL",11930,"0","0","0","0","0","0","0","0","0","0","0","0"
"486","Golf Academy of America-Carlsbad","Carlsbad","CA","92008","www.golfacademy.edu","33.12291","-117.283394","NULL",3,"12","NULL",29612,"0","0","0","0","0","0","0","0","0","0","0","0"
"487","San Diego Mesa College","San Diego","CA","92111-4998","www.sdmesa.edu/","32.804935","-117.169072","NULL",1,"11","NULL",12446,"0","0","0","0","0","0","0","0","0","0","0","0"
"488","San Diego Miramar College","San Diego","CA","92126-2999","www.sdmiramar.edu/","32.909546","-117.120888","NULL",1,"11","NULL",12395,"0","0","0","0","0","0","0","0","0","0","0","0"
"489","San Diego State University","San Diego","CA","92182","www.sdsu.edu","32.77525","-117.071228","0.3448",1,"11","1115",20631,"0","1","0","1","1","1","1","1","1","1","1","1"
"490","University of San Diego","San Diego","CA","92110-2492","www.sandiego.edu","32.77142","-117.188721","0.4625",2,"11","1243",57593,"0","1","1","1","0","1","1","1","1","1","1","1"
"491","San Francisco Art Institute","San Francisco","CA","94133-2299","www.sfai.edu","37.803575","-122.417","0.9508",2,"11","NULL",58010,"0","0","0","0","0","0","0","0","0","1","0","0"
"492","San Francisco Conservatory of Music","San Francisco","CA","94102-6011","www.sfcm.edu","37.775322","-122.420143","0.3727",2,"11","NULL",54430,"0","0","0","0","0","0","0","0","0","0","0","0"
"493","San Francisco State University","San Francisco","CA","94132","www.sfsu.edu","37.721345","-122.477905","0.6597",1,"11","990",19998,"0","1","0","1","1","1","1","1","1","1","1","1"
"494","San Francisco Theological Seminary","San Anselmo","CA","94960-0000","www.sfts.edu","37.969594","-122.564302","NULL",2,"21","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"495","University of San Francisco","San Francisco","CA","94117-1080","https://www.usfca.edu","37.775564","-122.450977","0.6005",2,"11","1152",58039,"0","1","1","1","0","0","1","1","1","2","1","1"
"496","San Joaquin College of Law","Clovis","CA","93612-1312","www.sjcl.edu","36.823978","-119.6978","NULL",2,"21","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"497","San Joaquin Delta College","Stockton","CA","95207","www.deltacollege.edu","37.994643","-121.317226","NULL",1,"11","NULL",15377,"0","0","0","0","0","0","0","0","0","0","0","0"
"498","San Joaquin Valley College-Visalia","Visalia","CA","93291-9283","www.sjvc.edu","36.328049","-119.384981","NULL",3,"41","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"499","William Jessup University","Rocklin","CA","95765-3707","WWW.JESSUP.EDU","38.819494","-121.292968","0.7581",2,"41","1009",37335,"0","0","0","0","1","0","0","0","1","1","1","1"
"500","San Jose City College","San Jose","CA","95128-2798","www.sjcc.edu","37.316293","-121.929747","NULL",1,"11","NULL",15656,"0","0","0","0","0","0","0","0","0","0","0","0"
"501","San Jose State University","San Jose","CA","95192-0001","www.sjsu.edu","37.335201","-121.881214","0.5985",1,"11","1038",21112,"0","1","0","1","1","1","1","1","1","1","1","1"
"502","College of San Mateo","San Mateo","CA","94402-3784","www.collegeofsanmateo.edu","37.534357","-122.336078","NULL",1,"21","NULL",8377,"0","0","0","0","0","0","0","0","0","0","0","0"
"503","Santa Barbara Business College-Bakersfield","Bakersfield","CA","93309","sbbcollege.edu","35.359544","-119.061264","NULL",3,"11","NULL",19639,"0","0","0","0","0","0","0","0","0","0","1","0"
"504","Westwood College-Los Angeles","Los Angeles","CA","90010","www.westwood.edu","34.061397","-118.293292","NULL",3,"11","NULL",30487,"0","0","0","2","0","0","0","0","0","0","2","0"
"505","Santa Barbara Business College-Santa Maria","Santa Maria","CA","93454","sbbcollege.edu","34.403862","-119.699744","NULL",3,"13","NULL",20297,"0","0","0","0","0","0","0","0","0","0","1","0"
"506","Santa Barbara City College","Santa Barbara","CA","93109-2394","www.sbcc.edu","34.406788","-119.698045","NULL",1,"13","NULL",15206,"0","0","0","0","0","0","0","0","0","0","0","0"
"507","Santa Clara University","Santa Clara","CA","95053","www.scu.edu","37.352706","-121.938189","0.4935",2,"12","1309",59020,"0","1","0","1","0","1","1","1","1","1","1","1"
"508","Santa Monica College","Santa Monica","CA","90405-1628","www.smc.edu","34.018968","-118.470431","NULL",1,"13","NULL",11926,"0","0","0","0","0","0","0","0","0","0","0","0"
"509","Santa Rosa Junior College","Santa Rosa","CA","95401-4395","www.santarosa.edu","38.45416","-122.720689","NULL",1,"12","NULL",12197,"0","0","0","0","0","0","0","0","0","0","0","0"
"510","Saybrook University","Oakland","CA","94612-1943","www.saybrook.edu","37.80446","-122.272391","NULL",2,"11","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"511","Scripps College","Claremont","CA","91711-3905","www.scrippscollege.edu","34.103655","-117.711336","0.284",2,"21","1360",61370,"0","1","0","1","0","1","1","1","1","1","1","1"
"512","Wyotech-Fremont","Fremont","CA","94539","www.wyotech.edu/campus/fremont","37.469279","-121.919395","NULL",3,"21","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"513","College of the Sequoias","Visalia","CA","93277-2214","www.cos.edu","36.322957","-119.314775","NULL",1,"12","NULL",6470,"0","0","0","0","0","0","0","0","0","0","0","0"
"514","Shasta Bible College and Graduate School","Redding","CA","96002","www.shasta.edu","40.564208","-122.315742","1",2,"13","NULL",20493,"0","0","0","0","1","0","0","0","0","0","0","0"
"515","Shasta College","Redding","CA","96003","www.shastacollege.edu","40.625731","-122.317982","NULL",1,"22","NULL",10869,"0","0","0","0","0","0","0","0","0","0","0","0"
"516","Sierra College","Rocklin","CA","95677-3397","www.sierracollege.edu","38.792758","-121.212646","NULL",1,"21","NULL",13850,"0","0","0","0","0","0","0","0","0","0","0","0"
"517","Sierra College of Beauty","Merced","CA","95340","sierrabeautycollege.net","37.306585","-120.495668","NULL",3,"13","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"518","Sierra Valley College of Court Reporting","Fresno","CA","93726","www.sierravalleycollege.edu","36.802756","-119.773017","NULL",3,"11","NULL",23907,"0","0","0","0","0","0","0","0","0","0","0","0"
"519","Trinity Law School","Santa Ana","CA","92705","tls.edu","33.766071","-117.852059","NULL",2,"11","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"520","Simpson University","Redding","CA","96003-8606","www.simpsonu.edu","40.61331","-122.333048","0.5736",2,"13","1024",35070,"0","0","0","0","1","0","1","1","2","1","2","1"
"521","College of the Siskiyous","Weed","CA","96094-2899","www.siskiyous.edu","41.413848","-122.389166","NULL",1,"33","NULL",13295,"0","0","0","0","0","0","0","0","0","0","0","0"
"522","Charles A Jones Career and Education Center","Sacramento","CA","95824-1529","www.caj.scusd.edu","38.51651","-121.44111","NULL",1,"11","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"523","Skyline College","San Bruno","CA","94066-1698","skylinecollege.edu","37.630543","-122.465978","NULL",1,"21","NULL",9418,"0","0","0","0","0","0","0","0","0","0","0","0"
"524","San Bernardino Valley College","San Bernardino","CA","92410-2798","www.valleycollege.edu","34.088717","-117.313814","NULL",1,"12","NULL",12504,"0","0","0","0","0","0","0","0","0","0","0","0"
"525","Saint Mary's College of California","Moraga","CA","94575","www.stmarys-ca.edu","37.83997","-122.106795","0.7595",2,"41","1109",58362,"0","1","0","0","0","1","1","1","1","1","1","1"
"526","Solano Community College","Fairfield","CA","94534-3197","www.solano.edu","38.235513","-122.120232","NULL",1,"22","NULL",13005,"0","0","0","0","0","0","0","0","0","0","0","0"
"527","Sonoma State University","Rohnert Park","CA","94928-3609","www.sonoma.edu","38.341023","-122.673261","0.8002",1,"21","984",22604,"0","1","0","1","1","1","1","1","1","1","1","1"
"528","Pinnacle College","Alhambra","CA","91803","www.pinnaclecollege.edu","34.081485","-118.150493","NULL",3,"21","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"529","South Baylo University","Anaheim","CA","92801-1701","WWW.SOUTHBAYLO.EDU","33.847936","-117.958663","NULL",2,"11","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"530","South Coast College","Orange","CA","92868-2609","www.SOUTHCOASTCOLLEGE.EDU","33.787946","-117.874109","NULL",3,"12","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"531","Vanguard University of Southern California","Costa Mesa","CA","92626","www.vanguard.edu","33.662686","-117.900911","0.58",2,"12","970",42756,"0","0","0","0","2","0","1","1","1","1","1","1"
"532","Concorde Career College-Garden Grove","Garden Grove","CA","92840-9201","www.concorde.edu","33.774741","-117.938395","1",3,"21","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"533","Southwestern College","Chula Vista","CA","91910-7299","www.swccd.edu/","32.641567","-116.997215","NULL",1,"21","NULL",10840,"0","0","0","0","0","0","0","0","0","0","0","0"
"534","Starr King School for the Ministry","Berkeley","CA","94709-1209","www.sksm.edu","37.876939","-122.261778","NULL",2,"12","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"535","Marshall B Ketchum University","Fullerton","CA","92831-1699","www.ketchum.edu","33.889819","-117.886158","NULL",2,"21","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"536","Southern California Institute of Architecture","Los Angeles","CA","90013-1822","www.sciarc.edu","34.04365","-118.232703","0.8079",2,"11","1151",58142,"0","0","1","0","0","0","0","0","0","0","0","0"
"537","University of Southern California","Los Angeles","CA","90089","www.usc.edu/","34.021058","-118.283858","0.1802",2,"11","1380",62092,"0","1","1","1","0","1","1","1","1","1","1","1"
"538","Southwestern Law School","Los Angeles","CA","90010-1106","www.swlaw.edu","34.061558","-118.288375","NULL",2,"11","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"539","Taft College","Taft","CA","93268","www.taftcollege.edu","35.149343","-119.459751","NULL",1,"32","NULL",12554,"0","0","0","0","0","0","0","0","0","0","0","0"
"540","Claremont School of Theology","Claremont","CA","91711-3199","www.cst.edu","34.107602","-117.715256","NULL",2,"21","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"541","Thomas Aquinas College","Santa Paula","CA","93060","www.thomasaquinas.edu","34.429009","-119.087141","0.827",2,"42","1261",35716,"0","0","0","0","0","0","0","0","0","0","0","0"
"542","Marinello Schools of Beauty-Lake Forest","Lake Forest","CA","92630","www.marinello.com","33.61932","-117.704674","NULL",3,"21","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"543","Epic Bible College","Sacramento","CA","95841","EPIC.edu","38.64499","-121.362221","NULL",2,"21","NULL",24963,"0","0","0","0","0","0","0","0","0","0","0","0"
"544","United Education Institute-Huntington Park Campus","Huntington Park","CA","90255","www.uei.edu/","33.986057","-118.226206","NULL",3,"21","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"545","Concorde Career College-San Bernardino","San Bernardino","CA","92408-3403","www.concorde.edu","34.06722","-117.28398","1",3,"12","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"546","Universal College of Beauty Inc-Los Angeles 1","Los Angeles","CA","90044","ucbla.net","33.959435","-118.292148","NULL",3,"21","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"547","Concorde Career College-North Hollywood","North Hollywood","CA","91606-3134","www.concorde.edu","34.186464","-118.403755","1",3,"11","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"548","Ventura College","Ventura","CA","93003-3872","www.venturacollege.edu/","34.277035","-119.230659","NULL",1,"12","NULL",8849,"0","0","0","0","0","0","0","0","0","0","0","0"
"549","Victor Valley Beauty College Inc","Victorville","CA","92395","www.victorvalleybeautycollege.com","34.528578","-117.303918","NULL",3,"12","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"550","Victor Valley College","Victorville","CA","92395-5850","www.vvc.edu","34.472231","-117.261456","NULL",1,"12","NULL",13622,"0","0","0","0","0","0","0","0","0","0","0","0"
"551","Berkeley City College","Berkeley","CA","94704","www.berkeleycitycollege.edu/wp/","37.87047","-122.269793","NULL",1,"12","NULL",14551,"0","0","0","0","0","0","0","0","0","0","0","0"
"552","Walden University","Minneapolis","MN","55401","www.waldenu.edu","44.98137","-93.265741","NULL",3,"11","NULL",30930,"0","0","0","2","2","0","0","0","2","0","2","0"
"553","Waynes College of Beauty","Salinas","CA","93906-2830","www.waynescollegeofbeauty.com","36.700462","-121.6523","NULL",3,"12","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"554","West Hills College-Coalinga","Coalinga","CA","93210","www.westhillscollege.com","36.147891","-120.356747","NULL",1,"32","NULL",12570,"0","0","0","0","0","0","0","0","0","0","0","0"
"555","West Los Angeles College","Culver City","CA","90230-3519","www.wlac.edu","34.005578","-118.387578","NULL",1,"21","NULL",12370,"0","0","0","0","0","0","0","0","0","0","0","0"
"556","West Valley College","Saratoga","CA","95070-5698","www.westvalley.edu","37.263133","-122.009701","NULL",1,"21","NULL",15863,"0","0","0","0","0","0","0","0","0","0","0","0"
"557","Carrington College-Sacramento","Sacramento","CA","95826","www.carrington.edu","38.561777","-121.36892","0.9565",3,"21","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"558","Westminster Theological Seminary in California","Escondido","CA","92027","www.wscal.edu","33.121447","-117.046371","NULL",2,"21","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"559","Westmont College","Santa Barbara","CA","93108-1089","www.westmont.edu","34.449265","-119.661932","0.7936",2,"22","1175",53670,"0","0","0","1","0","1","1","1","1","1","1","1"
"560","Whittier College","Whittier","CA","90601","www.whittier.edu","33.977625","-118.028402","0.6188",2,"21","1061",50361,"0","1","0","0","0","0","1","1","1","1","1","1"
"561","Woodbury University","Burbank","CA","91510-7846","woodbury.edu/","34.209226","-118.340692","NULL",2,"11","NULL",44211,"0","0","1","0","0","0","0","0","1","0","1","1"
"562","The Wright Institute","Berkeley","CA","94704-1796","www.wi.edu","37.868221","-122.253168","NULL",2,"12","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"563","Western State College of Law at Argosy University","Fullerton","CA","92831-3014","www.wsulaw.edu","33.880672","-117.890274","NULL",3,"21","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"564","Thomas Jefferson School of Law","San Diego","CA","92101","www.tjsl.edu","32.71014","-117.154191","NULL",2,"11","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"565","Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary","Los Angeles","CA","90046","www.yoec.edu/","34.085494","-118.346688","0.7297",2,"11","NULL",24850,"0","0","0","0","0","0","0","0","0","0","0","0"
"566","Yuba College","Marysville","CA","95901","yc.yccd.edu","39.125995","-121.539316","NULL",1,"22","NULL",11447,"0","0","0","0","0","0","0","0","0","0","0","0"
"567","The Salon Professional Academy-Grand Junction","Grand Junction","CO","81501","GrandJunctionBeautySchool.com","39.07799","-108.564961","NULL",3,"13","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"568","Adams State University","Alamosa","CO","81101","www.adams.edu","37.477238","-105.880943","0.6529",1,"33","955",19043,"0","0","0","0","0","0","1","1","1","2","2","0"
"569","Aims Community College","Greeley","CO","80632","www.aims.edu","40.409037","-104.764335","NULL",1,"13","NULL",14170,"0","0","0","0","0","0","0","0","0","0","0","0"
"570","Arapahoe Community College","Littleton","CO","80160-9002","www.arapahoe.edu","39.607505","-105.018631","NULL",1,"21","NULL",13599,"0","0","0","0","0","0","0","0","0","0","0","0"
"571","Bel-Rea Institute of Animal Technology","Denver","CO","80247","www.bel-rea.com","39.686066","-104.875292","0.8141",3,"11","NULL",22889,"0","0","0","0","0","0","0","0","0","0","0","0"
"572","Everest College-Colorado Springs","Colorado Springs","CO","80916","www.everest.edu/campus/colorado_springs","38.807095","-104.740267","NULL",3,"11","NULL",25751,"0","0","0","0","0","0","0","0","0","0","0","0"
"573","University of Colorado Denver/Anschutz Medical Campus","Denver","CO","80217-3364","www.ucdenver.edu/","39.74603","-104.999181","0.7299",1,"11","1055",19096,"0","0","0","1","0","1","1","1","1","2","2","1"
"574","University of Colorado Colorado Springs","Colorado Springs","CO","80918","www.uccs.edu","38.892735","-104.800296","0.924",1,"11","1089",18890,"0","0","0","1","1","1","1","1","1","2","2","1"
"575","Redstone College","Broomfield","CO","80021-3465","www.redstone.edu","39.914822","-105.119096","NULL",3,"13","NULL",24563,"0","0","0","0","0","0","0","0","0","0","0","0"
"576","University of Colorado Boulder","Boulder","CO","80309-0017","www.colorado.edu","40.004415","-105.267061","0.8416",1,"13","1207",28887,"0","1","1","1","1","1","1","1","1","1","1","1"
"577","Colorado Christian University","Lakewood","CO","80226","WWW.CCU.EDU","39.711701","-105.094836","0.9432",2,"12","NULL",38130,"0","0","0","2","1","0","1","1","2","2","2","1"
"578","Colorado College","Colorado Springs","CO","80903","www.coloradocollege.edu","38.84657","-104.82422","0.179",2,"11","NULL",57400,"0","1","0","1","1","0","1","1","1","1","0","1"
"579","Concorde Career College-Aurora","Aurora","CO","80010-4314","www.concorde.edu","39.718699","-104.867089","0.572",3,"11","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"580","The Art Institute of Colorado","Denver","CO","80203-2983","www.artinstitutes.edu/denver/","39.735587","-104.985847","NULL",3,"11","NULL",30736,"0","0","0","1","0","0","0","0","0","0","1","0"
"581","Colorado Mountain College","Glenwood Springs","CO","81601-0233","coloradomtn.edu/","39.54634","-107.324401","NULL",1,"33","NULL",13773,"0","0","0","0","0","0","0","0","0","0","1","0"
"582","Colorado Northwestern Community College","Rangely","CO","81648-3598","www.cncc.edu","40.080745","-108.790296","NULL",1,"43","NULL",16462,"0","0","0","0","0","0","0","0","0","0","0","0"
"583","Colorado School of Mines","Golden","CO","80401","www.mines.edu","39.75079","-105.227148","0.3647",1,"21","1333",30154,"0","0","0","1","0","1","0","1","0","1","0","0"
"584","Colorado School of Trades","Lakewood","CO","80215-2996","schooloftrades.edu","39.741009","-105.103945","NULL",3,"12","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"585","Colorado State University-Fort Collins","Fort Collins","CO","80523-0100","www.colostate.edu","40.574759","-105.08083","0.8048",1,"12","1128",22929,"2","1","1","1","1","1","1","1","1","1","1","1"
"586","Colorado Technical University-Colorado Springs","Colorado Springs","CO","80907-3812","www.coloradotech.edu/Colorado-Springs","38.894265","-104.833928","NULL",3,"11","NULL",23765,"0","0","0","1","0","1","0","0","0","0","1","0"
"587","Empire Beauty School-Lakewood","Lakewood","CO","80226","www.empire.edu","39.722781","-105.082104","NULL",3,"12","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"588","Community College of Aurora","Aurora","CO","80011-9036","www.ccaurora.edu","39.717767","-104.801861","NULL",1,"11","NULL",18580,"0","0","0","0","0","0","0","0","0","0","0","0"
"589","CollegeAmerica-Denver","Denver","CO","80222","www.collegeamerica.edu","39.691571","-104.94118","NULL",2,"11","NULL",28035,"0","0","0","1","0","0","0","0","0","0","1","0"
"590","Delta Montrose Technical College","Delta","CO","81416","www.dmtc.edu","38.702524","-108.031072","NULL",1,"41","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"591","Prince Institute-Rocky Mountains","Westminster","CO","80031-2901","www.princeinstitute.edu","39.859891","-105.065051","NULL",3,"21","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"592","Community College of Denver","Denver","CO","80204-2026","www.ccd.edu","39.74142","-105.003007","NULL",1,"11","NULL",13884,"0","0","0","0","0","0","0","0","0","0","0","0"
"593","Lincoln College of Technology-Denver","Denver","CO","80239","www.lincolnedu.com/campus/denver-co","39.77651","-104.856171","NULL",3,"11","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"594","Denver Seminary","Littleton","CO","80120","www.denverseminary.edu","39.600595","-105.022363","NULL",2,"21","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"595","Westwood College-Denver North","Denver","CO","80221","www.westwood.edu","39.830429","-104.986386","NULL",3,"21","NULL",27530,"0","0","0","1","0","0","0","0","0","0","1","0"
"596","University of Denver","Denver","CO","80208","www.du.edu","39.695954","-104.964625","0.7649",2,"11","1231",55476,"1","1","0","1","0","1","1","1","1","2","2","1"
"597","Emily Griffith Technical College","Denver","CO","80203","www.emilygriffith.edu","39.74574","-104.985711","NULL",1,"11","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"598","Fort Lewis College","Durango","CO","81301-3999","fortlewis.edu/","37.275428","-107.867003","0.9082",1,"32","1020",21691,"0","1","0","1","0","1","1","1","1","1","1","1"
"599","Front Range Community College","Westminster","CO","80031","www.frontrange.edu","39.901757","-105.039359","NULL",1,"21","NULL",14336,"0","0","0","0","0","0","0","0","0","0","0","0"
"600","Glenwood Beauty Academy","Glenwood Springs","CO","81601","glenwoodbeautyacademy.org","39.561947","-107.359099","NULL",3,"33","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"601","Hair Dynamics Education Center","Fort Collins","CO","80525","www.hairdynamics.com","40.497241","-105.076492","NULL",3,"12","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"602","Iliff School of Theology","Denver","CO","80210-4798","www.iliff.edu","39.674876","-104.959703","NULL",2,"11","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"603","International Salon and Spa Academy","Colorado Springs","CO","80918-3684","www.issaco.edu","38.913621","-104.786252","NULL",3,"11","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"604","Lamar Community College","Lamar","CO","81052-3999","www.lamarcc.edu","38.058067","-102.615612","NULL",1,"33","NULL",16043,"0","0","0","0","0","0","0","0","0","0","0","0"
"605","Colorado Mesa University","Grand Junction","CO","81501-3122","www.coloradomesa.edu","39.076354","-108.540281","0.8227",1,"13","970",18169,"0","1","0","1","0","0","1","1","1","1","1","1"
"606","Metropolitan State University of Denver","Denver","CO","80217-3362","www.msudenver.edu/","39.742248","-105.002391","0.6511",1,"11","973",14522,"0","1","0","1","1","0","1","1","1","1","2","1"
"607","Morgan Community College","Fort  Morgan","CO","80701","www.morgancc.edu","40.258792","-103.771822","NULL",1,"33","NULL",14942,"0","0","0","0","0","0","0","0","0","0","0","0"
"608","Naropa University","Boulder","CO","80302-6697","www.naropa.edu","40.014816","-105.267073","0.7006",2,"13","NULL",43638,"0","1","0","0","1","0","0","0","1","0","0","0"
"609","National American University-Colorado Springs","Colorado Springs","CO","80920","www.national.edu/locations/campuses/colorado-springs/","38.95211","-104.790581","NULL",3,"11","NULL",19350,"0","0","0","2","0","0","0","0","0","0","2","0"
"610","National American University-Denver","Denver","CO","80222-3308","www.national.edu/locations/campuses/centennial/","39.691953","-104.941649","NULL",3,"11","NULL",15678,"0","0","0","2","0","0","0","0","0","0","2","0"
"611","Nazarene Bible College","Colorado Springs","CO","80910-3704","www.nbc.edu","38.814124","-104.751124","NULL",2,"11","NULL",20430,"0","0","0","0","2","0","0","0","0","0","0","0"
"612","Northeastern Junior College","Sterling","CO","80751-2944","www.njc.edu","40.636879","-103.197536","NULL",1,"33","NULL",16228,"0","0","0","0","0","0","0","0","0","0","0","0"
"613","University of Northern Colorado","Greeley","CO","80639","www.unco.edu","40.403178","-104.701721","0.7088",1,"13","1033",19187,"0","0","0","0","2","0","1","1","2","2","1","1"
"614","Otero Junior College","La Junta","CO","81050","WWW.OJC.EDU","37.971184","-103.544779","NULL",1,"33","NULL",16770,"0","0","0","0","0","0","0","0","0","0","0","0"
"615","Everest College-Thornton","Thornton","CO","80229","www.everest.edu/campus/thornton","39.86156","-104.985441","NULL",3,"21","NULL",25962,"0","0","0","0","0","0","0","0","0","0","0","0"
